Title                               , Key, Tempo, Intro                                         , Outro                                          , ABC                       , Songform          , Chords
Bourbon Street                      , F  , Lopen, Roll-off + Trumpet Call                       , "egeg(2x),e fis d-intro"                       , bourbon_street_parade.abc , 32b Multi-strain  , 1 57 5 57 1 17 4 1dim 1 67 27 57 1
Five foot two                       , Bb , Lopen, Bas+ banjo                                    , "Laatste 4 maten 3x, gac 8va"                  , five_foot_two.abc         , 32b AABA          , 1 37 67 27 57 1 2m 57 1 37 67 27 57 1 37 67 27 57 1 37 67 27 57 1
Joe Avery                           , Bb , Lopen, Trumpet Call                                  , "In B,chaplin slotnoot es e"                   , second_line.abc           , 12b Blues         , 1 17 4 47 1 17 5 57 1 17 1 17 4 47 1 17 5 57 1 17
Gatemouth                           , Bb , Lopen, "Intro blok A drum & banjo, laatste maten Bas",                                                , gatemouth.abc             , 32b AB            , 57 1 57 1 57 1 4 1dim 1 67 27 57 1 37 6m 27 57 1 4 1dim 1 67 27 57 1
You are my sunshine                 , F  , Lopen, Roll-Off                                      , "Break in g, laatste 4 slow"                   , you_are_my_sunshine.abc   , 16b AB            , 1 17 4 1 17 4 1 67 27 57 1
I'm walking                         , Bb , Lopen, Bas intro                                     , "Loopje g,little chromatic ending"             , im_walking.abc            , 32b AABA          , 1 4 1 57 1 4 1 57 1 4 1 4 1 4 1 57 1 4 1 57 1 17
Saints                              , F  , Lopen, Roll-off + Trumpet call                       , "Laatste 2 maten omhoog, Klarinet aankijken."  , oh_when_the_saints.abc    , 16b AB            , 1 57 1 17 4 4m 1 57 1
Thin Line                           , Bb , Lopen, Trumpet Call                                  , Laatste 2 maten 3x=2e pp                       , walking_on_a_thin_line.abc, 16b AB            , 1 4 1 57 1 4 1 2m 1 57 1
                                    ,    ,      ,                                               ,                                                ,                           ,                   , 
Lily of the valley                  , F  , Lopen, Roll-off                                      , Laatste 4 maten 3x                             , lilly_of_the_valley.abc   , 32b AB            , 1 57 1 57 1 17 4 1dim 57 1 17 4 1dim 1 57 1
Just a little while                 , F  , Lopen, Roll-Off                                      , blues-end                                      , just_a_little_while.abc   , 32b AB            , 1 4 1 57 1 4 1 67 27 57 1 4 1 57 1 4 1 67 27 57 1
Didn't he Ramble                    , Bb , Lopen, March                                         , "loopje g,little chromatic ending."            , didnt_he_ramble.abc       , Intro-Verse-Chorus, 1 57 1 57 1 37 6m 4 57 1 57 1 57 1 57
Bellamina                           , Bb , Lopen, Bas intro                                     , cha-cha-cha                                    , bellamina.abc             , 16b AB            , 1 57 1 4 57 1 4 57 1
When you're smiling                 , Bb , Lopen, Roll-off                                      , Korte nootjes ipv halve                        , when_youre_smiling.abc    , 32b AABA          , 1 3m 67 2m 2m7 57 1 17 4 27 57 1 67 4 57 1
Whoopin' Blues                      , Eb , Lopen, "Vamp op F, inval Trompet"                    ,                                                , whoopin_blues.abc         , 12b Blues         , 1 17 47 1 57 1 17 47 1 57 1
Bill Bailey                         , F  , Lopen, Roll-off                                      , "A7 en d7 3x, blues-end"                       , bill_bailey.abc           , 32b ABAC          , 1 57 1 17 4 1dim 1 67 27 57 1
                                    ,    ,      ,                                               ,                                                ,                           ,                   , 
See See Rider                       , Bb , Staan,                                               ,                                                , see_see_rider.abc         , 12b Blues         , 1 17 4 47 1 57 47 1
Happy feet blues                    , Bb , Staan, Rhythm intro                                  , Laatste maat herhalen                          , happy_feet_blues.abc      , 12b Blues         , 1 17 47 1 57 47 1 17 47 1 57 47 1 17 47 1 57 47 1 17
Why don't you go down to New Orleans, Eb , Lopen, Roll-off                                      ,                                                , go_down_to_new_orleans.abc, 32b AABA          , 1 57 1 57 1 4 4m 1 17 4 4m 57 1 57 1
Bei mir bist du schon               , Gm , Staan, Sax/Bas intro                                 , Alleen laatste keer laatste maat Am kort a-e-a., bei_mir_bist_du_schon.abc , 32b AABA          , 1m 2Ø 57 1m 2Ø 1m 4m 67 57 67 57 1m 57 1m 57 1m 57 1m 17 4m 1m 4m 5 57 1m 57 1m
Just a closer walk                  , Bb , Staan, Dirge                                         , "Hele noot aanhouden, riet loopje"             , closer_walk.abc           , 32b AB            , 1 57 1 17 4 1dim 1 57 1
Isle of capri                       , F  , Staan, Bas                                           ,                                                , isle_of_capri.abc         , 32b AABA          , 1 57 1 57 17 1 57 1 57 1 17 4 1 57 1 17 4 1 6m 27 57 1 57 1 57 1
Dippermouth Blues                   , Bb , Staan, Trompet (allen)                               ,                                                , dippermouth_blues.abc     , 12b Blues         , 1 47 1 17 47 1 67 27 57 1 47 1
Milenberg Joys                      , Bb , Staan,                                               ,                                                , milenburg_joys.abc        , 32b AB            , 1 57 1 57 1 17 4 1 1dim 1 67 27 57 1
                                    ,    ,      ,                                               ,                                                ,                           ,                   , 
Lil' Liza                           , F  , Lopen, "Bas met beatring, na 8 maten banjo"          ,                                                , lil_liza_jane.abc         , 16b Multi-strain  , 1 5 1 57 1 5 1 57 1 4 1 5 1 4 1 57 1
Down in Honkey Tonk Town            , Bb , Lopen, Roll-off                                      ,                                                , honky_tonk_town.abc       , 32b AB            , 1 27 5 27 57 1 27 5 27 57 1
Gatemouth                           , Bb , Staan, "Drum + Banjo, inval bas"                     ,                                                , gatemouth.abc             , 32b AB            , 57 1 57 1 57 1 4 1dim 1 67 27 57 1 37 6m 27 57 1 4 1dim 1 67 27 57 1
All the girls                       , Bb , Staan, Roll-off                                      ,                                                , all_the_girls.abc         , 32b Multi-strain  , 4 1 57 1 17
All Over Now                        , Bb , Lopen, Bas intro                                     , zang                                           ,                           , 16b Blues         , 1 17 47 1 57 47 1 57 47 1
Over in the gloryland               , Ab , Lopen, Roll-off                                      ,                                                , gloryland.abc             , 32b AB            , 1 4 1 57 1 4 1 57 1 17 4 1 57 1 17 4 1 57 1
Ice cream                           , Bb , Lopen, Roll-off                                      , "gacac(2x),g3 naar c lopen"                    , ice_cream.abc             , 32b AABA          , 1 57 1 57 1 17 4 1 27 57 1 57 1
